"Yes","Ja"
"No","Nein"
"Smile Elasticsuite CMS Search","Smile Elasticsuite CMS Search"
"Is searchable","Ist durchsuchbar"
"CMS settings","CMS Einstellungen"
"Setting","Einstellungen"
"Max result","Maximale Anzahl an Ergebnissen"
"Maximum number of results to display in result block.","Maximale Anzahl an Ergebnissen im Suchblock"
"Elasticsuite Cms Page Indexing","Elasticsuite Cms Page Indexing"
"Reindex Elasticsuite cms pages.","Elasticsuite CMS Seiten reindizieren."
"Cms page","CMS Seiten"
"Show more.","Mehr anzeigen"
"Results in cms pages.","Suchergebnisse auf Inhaltsseiten"
